freqset,support
{33 26},0.0667334000667334
{0 35},0.0667334000667334
{5 29},0.0667334000667334
{0 20 14},0.0667334000667334
{41 4 14},0.0667334000667334
{32 35 14},0.0667334000667334
{48 33 14},0.0667334000667334
{18 19 13},0.0667334000667334
{18 38 39},0.0667334000667334
{49 34 3},0.0667334000667334
{34 4 5},0.0667334000667334
{34 26 5},0.0667334000667334
{32 34 37},0.0667334000667334
{41 30 6},0.0667334000667334
{19 20 44},0.0667334000667334
{42 19 28},0.0667334000667334
{12 6 39},0.0667334000667334
{46 6 15},0.0667334000667334
{0 1 32},0.0667334000667334
{32 1 20},0.0667334000667334
{48 32 15},0.0667334000667334
{48 28 44},0.0667334000667334
{32 49 28},0.0667334000667334
{49 26 46},0.0667334000667334
{0 26 34 14},0.0667334000667334
{1 15 14 6},0.0667334000667334
{16 1 29 14},0.0667334000667334
{16 2 19 14},0.0667334000667334
{38 34 4 14},0.0667334000667334
{48 4 14 44},0.0667334000667334
{34 19 5 14},0.0667334000667334
{12 28 14 6},0.0667334000667334
{19 12 28 14},0.0667334000667334
{16 18 35 14},0.0667334000667334
{38 48 19 14},0.0667334000667334
{38 18 19 6},0.0667334000667334
{16 49 18 12},0.0667334000667334
{49 18 19 12},0.0667334000667334
{18 19 44 46},0.0667334000667334
{48 18 29 30},0.0667334000667334
{18 34 42 46},0.0667334000667334
{19 34 2 6},0.0667334000667334
{48 34 19 28},0.0667334000667334
{32 34 19 46},0.0667334000667334
{49 34 19 46},0.0667334000667334
{48 1 30 49},0.0667334000667334
{1 4 6 30 14},0.0667334000667334
{1 34 49 6 14},0.0667334000667334
{1 18 34 11 14},0.0667334000667334
{18 19 34 11 14},0.0667334000667334
{16 49 34 19 14},0.0667334000667334
{48 34 30 14 46},0.0667334000667334
{48 49 34 30 14},0.0667334000667334
{48 18 34 6 46},0.0667334000667334
{42 47},0.06706706706706707
{2 3},0.06706706706706707
{8 18 14},0.06706706706706707
{19 13 14},0.06706706706706707
{19 14 31},0.06706706706706707
{0 18 20},0.06706706706706707
{18 2 21},0.06706706706706707
{18 12 37},0.06706706706706707
{18 20 21},0.06706706706706707
{24 18 44},0.06706706706706707
{43 18 26},0.06706706706706707
{26 34 3},0.06706706706706707
{24 34 32},0.06706706706706707
{2 4 30},0.06706706706706707
{0 26 19},0.06706706706706707
{19 4 38},0.06706706706706707
{19 5 6},0.06706706706706707
{11 19 46},0.06706706706706707
{19 12 21},0.06706706706706707
{42 28 6},0.06706706706706707
{48 37 6},0.06706706706706707
{1 4 29},0.06706706706706707
